// Note : 키(ID)와 내용은 반드시 탭으로 구분되어야 합니다.
//
IN_000_000	Swords [Dex]
ID_459_046	
IN_002_005	Splashing Firecracker
ID_459_047	
IN_002_006	Megaphone
ID_459_048	
IN_002_007	Previous Point Card
ID_459_049	
IN_002_008	Emergency Pass Transmission Card
ID_459_050	
IN_002_009	Locker Rental Card
ID_459_051	
IN_002_010	Beida's Necklace
ID_459_052	
IN_002_011	Beida's Ring
ID_459_053	
IN_002_012	Pakse Necklace
ID_459_054	
IN_002_013	Dakejima Necklace
ID_459_055	
IN_002_014	Yurionsil Necklace
ID_459_056	
IN_002_015	Ring
ID_459_057	
IN_002_016	Battle Helmet A [15D]
ID_459_058	
IN_002_017	Battle Helmet B [15D]
ID_502_000	
IN_002_018	Battle Helmet C [15D]
ID_502_001	
IN_002_019	Battle Helmet D [15D]
ID_502_002	
IN_002_038	Happy New Year Fireworks(Num.5)
ID_502_003	
IN_002_039	Happy New Year Fireworks(Num.6)
ID_502_004	
IN_002_040	Happy New Year Fireworks(Num.7)
ID_802_199	
IN_002_042	Extra Recovery item(HP+MP+SP)
ID_802_242	
IN_003_000	QiJian
ID_802_243	
IN_003_001	Lite Novice Sword
ID_802_244	
IN_003_002	Lite Wood Sword
ID_802_245	
IN_003_003	Lite Japanese Sword
ID_802_246	
IN_003_004	Lite Jasper Sword
ID_802_247	
IN_003_005	Lite Bamboo Sword
ID_802_249	
IN_003_006	Lite Steel Sword
ID_802_250	
IN_003_007	Lite Warrior Sword
ID_802_251	
IN_003_008	Lite Damascus Sword
ID_802_252	
IN_003_009	Lite Sharp Sword
ID_802_253	
IN_003_010	Lite Double Sword
ID_802_254	
IN_003_011	Lite Medium Broad Sword
ID_802_255	
IN_003_012	Lite Arcane Sword
IN_003_013	Lite Lava Sword
IN_003_014	Lite Dragon Sword
IN_003_015	Lite Solar Sword
IN_003_016	Light Tian Wu Sword
IN_003_017	Light Chu Wang Sword
IN_004_000	Bread
IN_004_001	Small HP Recovery Potion
IN_004_002	Medium HP Recovery Potion
IN_004_003	Aspirin
IN_004_004	Edible Bread
IN_004_005	Leonair Medium HP Recovery Potion
IN_004_006	Cherry Ice Cream
IN_004_007	Medium Ugraded HP Recovery Potion
IN_004_008	Recovery Potion
IN_005_000	Small MP Recovery Potion
IN_005_001	Medium MP Recovery Potion
IN_005_002	Big MP Recovery Potion
IN_005_003	Big Leonair MP Recovery Potion
IN_005_004	Chocolate Ice Cream
IN_005_005	Big Upgraded MP Recovery Potion
IN_006_000	Small SP Recovery Potion
IN_006_001	Medium SP Recovery Potion
IN_006_002	Big SP Recovery Potion
IN_006_003	Big Leonair SP Recovery Potion
IN_006_004	Almond Ice Cream
IN_006_005	Big Upgraded SP Recovery Potion
IN_007_000	Temp
IN_008_000	Vitality Recovery Potion
IN_008_001	Synthesized Recovery Potion
IN_008_002	Refine Pill
IN_008_003	Leonair Refine Pill
IN_008_004	Hotdog
IN_008_005	HP
IN_008_006	MP
IN_008_007	SP
IN_008_008	HP+MP+SP
IN_008_009	Miracle Potion of Daramai
IN_008_010	Emergency Potion(Anti Stun)
IN_008_011	Emergency Potion(Anti Skill)
IN_008_012	Emergency Potion(Anti Pots)
IN_009_000	Opportunity Item
IN_009_001	Destiny Box
IN_009_002	Destiny Box
IN_009_003	Destiny Box
IN_009_004	Destiny Box
IN_009_005	Destiny Box
IN_009_006	Destiny Box
IN_009_007	Destiny Box
IN_009_008	Destiny Box
IN_009_009	Destiny Box
IN_009_010	Destiny Box
IN_009_011	Destiny Box
IN_009_012	Destiny Box
IN_009_013	Destiny Box
IN_009_014	Destiny Box
IN_009_015	Destiny Box
IN_009_016	Destiny Box
IN_009_017	Destiny Box
IN_009_018	Destiny Box
IN_009_019	Destiny Box
IN_009_020	Destiny Box
IN_009_021	Destiny Box
IN_009_022	Destiny Box
IN_009_023	Destiny Box
IN_009_024	Destiny Box
IN_009_025	Destiny Box
IN_009_026	Destiny Box
IN_009_027	Destiny Box
IN_009_028	Destiny Box
IN_009_029	Destiny Box
IN_009_030	Destiny Box
IN_009_031	Destiny Box
IN_009_032	Destiny Box
IN_009_033	Destiny Box
IN_009_034	Destiny Box
IN_009_035	Destiny Box
IN_009_036	Destiny Box
IN_009_037	Destiny Box
IN_009_038	Destiny Box
IN_009_042	Destiny Box
IN_009_044	Destiny Box
IN_009_045	Destiny Box
IN_009_046	Destiny Box
IN_010_000	Temp
IN_011_000	Burr
IN_011_001	Protection Potion
IN_011_002	Man Cha Luo Hua 8
IN_011_003	Ancient Cold Iron
IN_011_004	Fine Burr
IN_011_005	Fine Hone
IN_011_006	Luxury Protection Potion
IN_011_007	Principal Medicine Kit
IN_011_008	Black ManChaLuoHua 8
IN_011_009	Rock Powder
IN_011_010	Ancient Cold Iron
IN_011_011	Fine Iron
IN_011_012	Iron
IN_011_013	Fine Sodium
IN_011_014	Fine Crystal
IN_011_015	Fine Silver
IN_011_016	Silver
IN_011_017	Crystal
IN_011_018	Bone Powder
IN_011_019	Opulent Bone Powder
IN_011_020	Sodium
IN_011_021	Costume Eraser
IN_011_022	Burr(2)
IN_011_023	Burr(3)
IN_011_024	Burr(4)
IN_011_025	Fine Burr(2)
IN_011_026	Fine Burr(3)
IN_011_027	Fine Burr(4)
IN_011_028	Protection Potion(2)
IN_011_029	Protection Potion(3)
IN_011_030	Protection Potion(4)
IN_011_031	Luxury Protection Potion(2)
IN_011_032	Luxury Protection Potion(3)
IN_011_033	Luxury Protection Potion(4)
IN_011_034	Silver(2)
IN_011_035	Silver(3)
IN_011_036	Silver(4)
IN_011_037	Fine Silver(2)
IN_011_038	Fine Silver(3)
IN_011_039	Fine Silver(4)
IN_011_040	Iron(2)
IN_011_041	Iron(3)
IN_011_042	Iron(4)
IN_011_043	Fine Iron(2)
IN_011_044	Fine Iron(3)
IN_011_045	Fine Iron(4)
IN_011_046	Bone Powder(2)
IN_011_047	Bone Powder(3)
IN_011_048	Bone Powder(4)
IN_011_049	Opulent Bone Powder(2)
IN_011_050	Opulent Bone Powder(3)
IN_011_051	Opulent Bone Powder(4)
IN_011_052	Sodium(2)
IN_011_053	Sodium(3)
IN_011_054	Sodium(4)
IN_011_055	Fine Sodium(2)
IN_011_056	Fine Sodium(3)
IN_011_057	Fine Sodium(4)
IN_011_058	Crystal(2)
IN_011_059	Crystal(3)
IN_011_060	Crystal(4)
IN_011_061	Fine Crystal(2)
IN_011_062	Fine Crystal(3)
IN_011_063	Fine Crystal(4)
IN_011_064	Range Grindstone (+1 ~ +6)
IN_011_065	Range Enhancer (Weapon)
IN_011_066	Fine Range Enhancer (Weapon)
IN_011_067	Low Range Enhancer (Armor)
IN_011_068	Range Enhancer (Armor)
IN_011_069	Fine Range Enhancer (Armor)
IN_011_070	Range Grindstone (+1 ~ +6)
IN_011_071	Range Grindstone (+2 ~ +6)
IN_011_072	Range Grindstone (+2 ~ +7)
IN_011_073	Range Grindstone (+3 ~ +7)
IN_011_074	Range Grindstone (+3 ~ +8)
IN_011_075	Range Grindstone (+3 ~ +9)
IN_011_076	Range Grindstone (+4 ~ +7)
IN_011_077	Range Grindstone (+4 ~ +8)
IN_011_078	Range Grindstone (+4 ~ +9)
IN_011_079	Range Grindstone (+5 ~ +7)
IN_011_080	Range Grindstone (+5 ~ +8)
IN_011_081	Range Grindstone (+5 ~ +9)
IN_011_082	Range Grindstone (+5 ~ +10)
IN_011_083	Range Grindstone (+6 ~ +9)
IN_011_084	Range Grindstone (+6 ~ +10)
IN_011_085	Finest Range Grindstone (+1)
IN_011_086	Finest Range Grindstone (+1 ~ +2)
IN_011_087	Finest Range Grindstone (+1 ~ +3)
IN_011_088	Range Coating Oil (+1 ~ +6)
IN_011_089	Range Coating Oil (+2 ~ +6)
IN_011_090	Range Coating Oil (+2 ~ +7)
IN_011_091	Range Coating Oil (+3 ~ +7)
IN_011_092	Range Coating Oil (+3 ~ +8)
IN_011_093	Range Coating Oil (+3 ~ +9)
IN_011_094	Range Coating Oil (+4 ~ +7)
IN_011_095	Range Coating Oil (+4 ~ +8)
IN_011_096	Range Coating Oil (+4 ~ +9)
IN_011_097	Range Coating Oil (+5 ~ +7)
IN_011_098	Range Coating Oil (+5 ~ +8)
IN_011_099	Range Coating Oil (+5 ~ +9)
IN_011_100	Range Coating Oil (+5 ~ +10)
IN_011_101	Range Coating Oil (+6 ~ +9)
IN_011_102	Range Coating Oil (+6 ~ +10)
IN_011_103	Finest Range Coating Oil (+1)
IN_011_104	Finest Range Coating Oil (+1 ~ +2)
IN_011_105	Finest Range Coating Oil (+1 ~ +3)
IN_011_106	Fine Range Grindstone (+1 ~ +6)
IN_011_107	Fine Range Grindstone (+2 ~ +6)
IN_011_108	Fine Range Grindstone (+2 ~ +7)
IN_011_109	Fine Range Grindstone (+3 ~ +7)
IN_011_110	Fine Range Grindstone (+3 ~ +8)
IN_011_111	Fine Range Grindstone (+3 ~ +9)
IN_011_112	Fine Range Grindstone (+4 ~ +7)
IN_011_113	Fine Range Grindstone (+4 ~ +8)
IN_011_114	Fine Range Grindstone (+4 ~ +9)
IN_011_115	Fine Range Grindstone (+5 ~ +7)
IN_011_116	Fine Range Grindstone (+5 ~ +8)
IN_011_117	Fine Range Grindstone (+5 ~ +9)
IN_011_118	Fine Range Grindstone (+5 ~ +10)
IN_011_119	Fine Range Grindstone (+6 ~ +9)
IN_011_120	Fine Range Grindstone (+6 ~ +10)
IN_011_121	Fine Range Coating Oil (+1 ~ +6)
IN_011_122	Fine Range Coating Oil (+2 ~ +6)
IN_011_123	Fine Range Coating Oil (+2 ~ +7)
IN_011_124	Fine Range Coating Oil (+3 ~ +7)
IN_011_125	Fine Range Coating Oil (+3 ~ +8)
IN_011_126	Fine Range Coating Oil (+3 ~ +9)
IN_011_127	Fine Range Coating Oil (+4 ~ +7)
IN_011_128	Fine Range Coating Oil (+4 ~ +8)
IN_011_129	Fine Range Coating Oil (+4 ~ +9)
IN_011_130	Fine Range Coating Oil (+5 ~ +7)
IN_011_131	Fine Range Coating Oil (+5 ~ +8)
IN_011_132	Fine Range Coating Oil (+5 ~ +9)
IN_011_133	Fine Range Coating Oil (+5 ~ +10)
IN_011_134	Fine Range Coating Oil (+6 ~ +9)
IN_011_135	Fine Range Coating Oil (+6 ~ +10)
IN_011_136	Range Grindstone Box
IN_011_137	Fine Range Grindstone Box
IN_011_138	Finest Range Grindstone Box
IN_011_139	Range Coating Oil Box
IN_011_140	Fine Range Coating Oil Box
IN_011_141	Finest Range Coating Oil Box
IN_011_142	Low Range Grindstone (+1 ~ +4)
IN_011_143	Low Range Grindstone (+1 ~ +6)
IN_011_144	Low Range Coating Oil (+1 ~ +4)
IN_011_145	Low Range Coating Oil (+1 ~ +6)
IN_011_146	Perfect Range Coating Oil (+10~+13)
IN_011_147	Perfect Range Grindstone (+10~+13)
IN_012_000	Basic Upgrade Set
IN_012_001	Synthesizer Upgrade Set
IN_012_002	Resistance Upgrade Set
IN_012_003	Fine Burr Bundle [6]
IN_012_004	Luxury Protection Potion Bundle [6]
IN_012_005	Fine Resistance Upgrade Set
IN_013_000	Wooden Arrow
IN_013_001	Upgraded Wooden Arrow
IN_013_002	Silver Arrow
IN_013_003	Upgraded Silver Arrow
IN_013_004	Mizoli Arrow
IN_013_005	Upgraded Mizoli Arrow
IN_013_006	Fiery Arrow
IN_013_007	Upgraded Fiery Arrow
IN_014_000	Script Arrow
IN_014_001	Upgraded Script Arrow
IN_014_002	Talis Arrow
IN_014_003	Upgraded Talis Arrow
IN_014_004	Divine Arrow
IN_014_005	Upgraded Divine Arrow
IN_014_006	Divine Destiny Arrow
IN_014_007	Upgraded Divine Destiny Arrow
IN_015_000	Normal Ganil Stone
IN_015_001	Janaohu Ganil
IN_015_002	Iron Fist Ganil
IN_015_003	Black Knife Ganil
IN_016_000	Rare Ganil Stone
IN_016_001	Retinum
IN_016_002	Hardening agent
IN_016_003	Ganil Powder
IN_016_004	Bail Powder
IN_016_005	Ganil Piece
IN_016_006	Bail Piece
IN_016_007	Perfect Ganil Piece
IN_016_008	Perfect Bail Piece
IN_017_000	Unique Ganil Stone
IN_017_001	Ganil
IN_018_000	Temp
IN_018_001	Inferior Weapon Grind Stone
IN_018_002	Weapon Grind Stone
IN_018_003	Superior Grind Stone
IN_018_011	Inferior Armor Grind Stone
IN_018_012	Armor Grind Stone
IN_018_013	Superior Armor Grind Stone
IN_018_021	Inferior Ornament Carving Stone
IN_018_022	Ornament Carving Stone
IN_018_031	Liquid Fermentation Potion
IN_018_032	Recovery Capsule
IN_018_033	Distilled Water
IN_018_041	Undried Ginseng
IN_018_051	Crystal of Possessed Soul
IN_018_052	Tear of Possessed Soul
IN_019_000	Daggers [All]
IN_019_001	Majestic Dagger [Ice]
IN_019_002	Majestic Dagger [Electric]
IN_019_003	Majestic Dagger [Fire]
IN_019_004	Lace Dagger
IN_019_005	Saber
IN_019_006	XinYue Dagger
IN_019_007	Majestic Dagger
IN_019_008	Cresent Fury
IN_020_000	Temp
IN_021_000	Temp
IN_021_001	Carved Necklace
IN_021_002	Carved Iron Necklace
IN_021_003	Carved Stone Necklace
IN_021_004	Carved Osteal Necklace
IN_021_005	Carved Spiritual Rosary
IN_021_051	Carved Copper Ring
IN_021_052	Pressure Carved Copper Ring
IN_022_000	Temp
IN_022_001	Fermented Recovery Potion
IN_022_002	Tonic HP Drink
IN_022_003	Tonic MP Drink
IN_022_004	Tonic SP Drink
IN_022_005	Custom HP Drink
IN_022_006	Custom MP Drink
IN_022_007	Custom SP Drink
IN_022_021	Oriental Bezoar Pill
IN_023_000	Weapon
IN_023_001	Club
IN_023_002	Iron Stick
IN_023_003	Wood Stick
IN_023_004	Aluminum Stick
IN_023_005	Spike Stick
IN_023_006	Ternary Stick
IN_023_007	Special Stick
IN_023_008	Golf Club
IN_023_009	Hockey Stick
IN_023_010	Marking Board
IN_023_011	Special Broom
IN_023_012	Aluminum Stick
IN_024_000	Temp
IN_025_000	Temp
IN_026_000	Temp
IN_027_000	Qi Bow
IN_027_001	Lite DuanQi Bow
IN_027_002	Lite ZhunQi Bow
IN_027_003	Lite Practice Bow
IN_027_004	Competition Bow
IN_027_005	Lite Alloy Bow
IN_027_006	Lite Giant Bow
IN_027_007	Lite Hunter Bow
IN_027_008	Lite Long Bow
IN_027_009	Lite Wide Bow
IN_027_010	Lite Sync Bow
IN_027_011	Lite Iron Bow
IN_027_012	Lite Steel Bow
IN_027_013	Lite Sparring Bow
IN_027_014	Lite Genie Bow
IN_027_015	Lite Sage Bow
IN_027_016	Light Lightning Bow
IN_028_000	Swords [Pow]
IN_028_001	Novice Bamboo Blade
IN_028_002	Bamboo Blade
IN_028_003	Half-Moon Blade
IN_028_004	Full-Moon Blade
IN_028_005	Gold Blade
IN_028_006	Silver Blade
IN_028_007	Flying Blade
IN_028_008	Cloud Blade
IN_028_009	Wind Blade
IN_028_010	BaGua Blade
IN_028_011	Broad Blade
IN_028_012	Giant Blade
IN_028_013	JiuHun Blade
IN_028_014	Slayer Blade
IN_028_015	Iron Blade
IN_028_016	Rune Blade
IN_028_017	Treasure Blade
IN_028_018	Punishment Blade
IN_028_019	Noble Blade
IN_028_020	Gold Blade
IN_028_021	Double Blade
IN_028_022	Temp
IN_028_023	Temp
IN_028_024	N Blade
IN_029_000	Shared Bow
IN_029_001	Short Bow
IN_029_002	Accurate Bow
IN_029_003	JianXi Bow
IN_029_004	JingXai Bow
IN_030_000	Small Bow
IN_030_001	Bend Bow
IN_030_002	Cross Bow
IN_030_003	Hunter Bow
IN_030_004	Wood Bow
IN_030_005	Upgraded Short Bow
IN_030_006	Fusion Wood Bow
IN_030_007	Iron Bow
IN_030_008	Upgraded Iron Bow
IN_030_009	Sparring Bow
IN_030_010	Horn Bow
IN_030_011	Upgraded Horn Bow
IN_030_012	High Bow
IN_030_013	Upgraded High Bow
IN_030_014	Imperial Bow
IN_030_015	Upgraded Imperial Bow
IN_031_000	Big Bow
IN_031_001	Alloy Bow
IN_031_002	Giant Alloy Bow
IN_031_003	Hunter Alloy Bow
IN_031_004	Long Wood Bow
IN_031_005	Ugraded Long Bow
IN_031_006	Fusion Long Bow
IN_031_007	Iron Long Bow
IN_031_008	Ugraded Iron Long Bow
IN_031_009	Sparring Alloy Bow
IN_031_010	Genie Bow
IN_031_011	Ugraded Genie Bow
IN_031_012	Ritual Bow
IN_031_013	Ugraded Ritual Bow
IN_031_014	Pack Bow
IN_031_015	Ugraded Pack Bow
IN_032_000	Common Gloves
IN_032_001	Violent Gloves
IN_032_002	Cotton Gloves
IN_032_003	Cotton Gloves [B]
IN_032_004	Sports Gloves
IN_032_005	Sports Gloves [B]
IN_032_006	Training Gloves
IN_032_007	Training Gloves [B]
IN_032_008	Iron Gloves
IN_032_009	Iron Gloves [B]
IN_033_000	Brawler Gloves
IN_033_001	Judo Gloves [C]
IN_033_002	Judo Gloves [B]
IN_033_003	Fighter Gloves [D]
IN_033_004	Fighter Gloves [C]
IN_033_005	Fighter Gloves [B]
IN_033_006	Brawler Gloves [D]
IN_033_007	Brawler Gloves [C]
IN_033_008	Brawler Gloves [B]
IN_033_009	Mercenary Gloves [D]
IN_033_010	Mercenary Gloves [C]
IN_033_011	Mercenary Gloves [B]
IN_033_012	C Lvl Steel Spar Glv.
IN_033_013	B Lvl Steel Spar Glv.
